post_id,theme,subtopic,confidence
7470167639785082145,jobs,all_jobs_panic,high
7502044516719922437,jobs,all_jobs_panic,high
7516523171361787159,jobs,all_jobs_panic,high
7630944567663119646,jobs,service_blue_collar,high
7631237483963010311,jobs,all_jobs_panic,high
7610516929459080479,jobs,all_jobs_panic,high
7610209992402160910,jobs,all_jobs_panic,high
7618664766382411030,jobs,all_jobs_panic,medium
7629841094804589846,jobs,layoffs_news,high
7617256429988138253,jobs,all_jobs_panic,high
7604918911137533206,jobs,all_jobs_panic,high
7631849007156923650,deepfake,misinfo_general,high
7628508447297867039,jobs,all_jobs_panic,high
7630912600456400159,jobs,all_jobs_panic,high
7547448190362979639,jobs,all_jobs_panic,high
7632371615585619218,jobs,layoffs_news,high
7631070686928309518,jobs,all_jobs_panic,high
7632191262195535124,jobs,all_jobs_panic,high
7632120870747573517,jobs,layoffs_news,high
7631860947304451361,jobs,all_jobs_panic,high
7617944467898715414,xrisk,loss_of_control,high
7608937173605223713,jobs,service_blue_collar,medium
7631670146515455246,xrisk,agi_superintelligence,high
7465174229009435935,jobs,service_blue_collar,high
7630952944610839839,jobs,all_jobs_panic,high
7630323927214001421,jobs,service_blue_collar,high
7624566998944501013,jobs,all_jobs_panic,high
7628948732838530311,jobs,layoffs_news,high
7631334170303728917,jobs,all_jobs_panic,high
7559785571946745101,jobs,all_jobs_panic,high
7631221294758890766,jobs,service_blue_collar,high
7632466746443599118,deepfake,nonconsensual_imagery,high
7630429465117543701,jobs,all_jobs_panic,high
7632086716106525982,jobs,all_jobs_panic,high
7631886769570598166,jobs,all_jobs_panic,high
7632825350778588430,jobs,all_jobs_panic,high
7632125631123311885,jobs,layoffs_news,high
7630522391961128206,jobs,layoffs_news,high
7511784117399276822,jobs,layoffs_news,medium
7600763901193538838,environment,general_resource,high
7589596167537708299,jobs,layoffs_news,high
7611663668224281863,jobs,layoffs_news,high
7632117030388354318,jobs,personal_loss,high
7543819810019347720,jobs,personal_loss,high
7619294492402765078,jobs,white_collar_tech,high
7631455528367033622,jobs,all_jobs_panic,high
7556219145248083202,jobs,all_jobs_panic,high
7628843287859825950,jobs,layoffs_news,high
7630426894302711063,jobs,layoffs_news,high
7631548039747882253,jobs,layoffs_news,high
7631877324371184910,jobs,layoffs_news,high
7605354360486251789,jobs,layoffs_news,high
7632414917391371542,jobs,layoffs_news,high
7510080362165308702,jobs,all_jobs_panic,high
7618040584179092757,jobs,layoffs_news,high
7629089335236758797,xrisk,loss_of_control,high
7631684692751715597,jobs,layoffs_news,high
7617561642649341206,jobs,layoffs_news,high
7632071210423143702,jobs,personal_loss,high
7539247507516198158,jobs,all_jobs_panic,high
7631287735453584654,jobs,layoffs_news,high
7632294918941166861,jobs,layoffs_news,medium
7631455852200742151,jobs,all_jobs_panic,high
7631410761796947213,jobs,all_jobs_panic,high
7632610540463934728,regulation,safety_oversight,high
7626171548914814228,jobs,layoffs_news,high
7632537195349298453,general_neg,hate_quit,medium
7623794246272781575,jobs,all_jobs_panic,medium
7629748964882992406,jobs,layoffs_news,high
7631290189683379469,jobs,layoffs_news,high
7629065437669592327,jobs,all_jobs_panic,high
7611602549694614815,jobs,personal_loss,high
7629798377164737814,jobs,layoffs_news,medium
7631275540082724126,jobs,all_jobs_panic,high
7594235512928357646,jobs,layoffs_news,high
7631575390229679374,art,consent_training,high
7616321933721832721,jobs,layoffs_news,high
7631742738756537614,jobs,service_blue_collar,high
7628180640948604181,jobs,all_jobs_panic,high
7627133038220119310,jobs,all_jobs_panic,high
7330457761404161285,jobs,all_jobs_panic,high
7551259430252334343,jobs,personal_loss,high
7626138296233577758,jobs,personal_loss,high
7631613585122233614,xrisk,loss_of_control,high
7630053444518153503,jobs,personal_loss,medium
7631499840395971862,jobs,all_jobs_panic,high
7631775733362281758,jobs,white_collar_tech,high
7510701748961709358,jobs,personal_loss,high
7628308947069340950,jobs,all_jobs_panic,high
7631958118540315935,jobs,all_jobs_panic,high
7517288318896246047,jobs,layoffs_news,high
7632353692376681742,regulation,pro_regulation,high
7605848086887288085,environment,data_centers,high
7627970194454973714,environment,data_centers,high
7565096213951860023,environment,data_centers,high
7626480610781039886,environment,data_centers,high
7631678026866003231,environment,data_centers,high
7488185726685695275,environment,data_centers,high
7617488901388782861,environment,data_centers,high
7585030935968582943,environment,data_centers,high
7551183082229878038,environment,data_centers,high
7616717220017638686,environment,water_usage,high
7631896338447240478,environment,data_centers,high
7593074860377640214,environment,electricity_grid,high
7632085837680790815,environment,data_centers,high
7632172379476610324,art,consent_training,medium
7632328164097690902,environment,electricity_grid,high
7562156199295110430,environment,general_resource,medium
7568299813230382343,environment,electricity_grid,high
7486138635348102405,environment,electricity_grid,high
7621523549374729503,environment,general_resource,high
7617636417757252878,environment,electricity_grid,high
7623403146756279583,environment,electricity_grid,high
7586867778129349902,environment,data_centers,high
7632418875052657942,environment,water_usage,high
7463020551158730016,environment,electricity_grid,high
7618829129042988308,environment,electricity_grid,high
7526764533323418894,environment,electricity_grid,high
7537401206977678647,environment,water_usage,high
7625693264762522911,environment,water_usage,high
7595682888994147606,environment,water_usage,medium
7506352853896662277,environment,water_usage,high
7616109114363612438,environment,electricity_grid,high
7527488020996574495,environment,water_usage,high
7593500051301879095,environment,water_usage,high
7465351830667824407,environment,water_usage,high
7607688737073417493,environment,water_usage,high
7609715292998044942,environment,water_usage,high
7619073723521355039,environment,water_usage,high
7628297347407154453,environment,water_usage,high
7554395347682888973,environment,water_usage,high
7591624100624239890,environment,water_usage,high
7511985116487503134,environment,water_usage,high
7625754334818602247,environment,water_usage,high
7625535166655581447,environment,water_usage,high
7624362417207921938,environment,water_usage,high
7443910463542283551,environment,carbon_climate,high
7587199390645767455,environment,carbon_climate,high
7588875165560327432,environment,water_usage,high
7517342690212662583,environment,carbon_climate,medium
7568541263788625174,environment,carbon_climate,high
7415255622368775455,xrisk,loss_of_control,high
7525578794061581581,environment,carbon_climate,high
7523218734115196166,environment,carbon_climate,high
7548546973901622535,environment,carbon_climate,high
7566437153455049997,environment,electricity_grid,high
7543154408943602975,environment,water_usage,high
7593836750561234207,environment,carbon_climate,medium
7600511313596435733,environment,water_usage,high
7632405885247130911,environment,water_usage,high
7619406345099398413,environment,data_centers,high
7551176586435775774,deepfake,misinfo_general,high
7594534864683027734,environment,carbon_climate,medium
7591856726052228374,environment,carbon_climate,medium
7574104936707919135,environment,carbon_climate,high
7609166729133985042,environment,electricity_grid,high
7562943612955151646,environment,electricity_grid,high
7630174962082532638,environment,electricity_grid,high
7563783769572855095,environment,electricity_grid,high
7511833470314745119,environment,electricity_grid,high
7456137104268086533,environment,electricity_grid,high
7560442844071152951,environment,electricity_grid,high
7174544159494212910,art,consent_training,high
